,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
75,Western Kentucky,8,5,cusa,11,7.0,2.0,0.09090909090909094,0.9285714285714286,0.08441558441558444,13.424939165864984,11.140345582962146,-3.5389610389610393,-48.00135501355013,-36.861009430587984
76,Marshall,7,5,cusa,11,5.0,3.0,0.09090909090909094,0.7857142857142857,0.07142857142857145,14.546749226006188,12.071251235048305,-3.7612750885478157,-51.01675289480167,-38.94550165975336
77,Virginia Tech,6,6,acc,4,4.0,4.0,0.7272727272727273,0.5,0.36363636363636365,-4.118305395126078,-3.4174713755528527,-2.779220779220779,-37.69647696476964,-41.113948340322494
78,Florida State,5,7,acc,4,4.0,4.0,0.7272727272727273,0.4285714285714286,0.31168831168831174,0.47839759365599643,0.39698612064749067,-3.0649350649350646,-41.57181571815717,-41.174829597509685
79,Memphis,6,6,american,7,3.0,5.0,0.4545454545454546,0.4545454545454546,0.20661157024793392,0.5198428446702169,0.4313784119917234,-3.1165289256198347,-42.271618625277156,-41.84024021328543
80,Eastern Michigan,7,5,mac,10,4.0,4.0,0.18181818181818177,0.5833333333333333,0.10606060606060602,3.72743095845905,3.0931141289227693,-3.3311688311688314,-45.18292682926829,-42.08981270034552
81,Illinois,5,7,big-ten,3,4.0,5.0,0.8181818181818181,0.4285714285714286,0.35064935064935066,-1.5718522537185224,-1.3043617624954789,-3.012987012987014,-40.867208672086726,-42.17157043458221
82,Rutgers,5,7,big-ten,3,2.0,7.0,0.8181818181818181,0.2857142857142857,0.23376623376623373,-6.830081300813007,-5.667769895319448,-2.7119244391971664,-36.783690564178364,-42.45146045949782
83,Wyoming,6,6,mwc,6,2.0,6.0,0.5454545454545454,0.33333333333333337,0.18181818181818182,-0.9672413793103428,-0.8026407490215186,-3.2554112554112553,-44.155374887082196,-44.95801563610372
84,Hawaii,6,7,mwc,6,3.0,5.0,0.5454545454545454,0.5,0.2727272727272727,-3.9384996461429678,-3.268264130981616,-3.1581070444706807,-42.83557115874188,-46.1038352897235
85,Miami (OH),6,6,mac,10,5.0,3.0,0.18181818181818177,0.6666666666666667,0.12121212121212119,10.395835860117248,8.626720961233845,-4.134199134199135,-56.07497741644084,-47.448256455206995
86,Kent State,7,6,mac,10,6.0,3.0,0.18181818181818177,0.8333333333333334,0.1515151515151515,-1.5327076014192684,-1.2718785646983972,-3.456709956709957,-46.88572719060524,-48.157605755303635
87,Washington,4,8,pac-12,5,3.0,6.0,0.6363636363636364,0.41666666666666663,0.26515151515151514,5.0630263292695465,4.201424103813798,-4.122727272727273,-55.91937669376693,-51.71795258995313
88,California,5,7,pac-12,5,4.0,5.0,0.6363636363636364,0.5,0.3181818181818182,-1.9403059878660054,-1.610113757273427,-3.75,-50.86382113821137,-52.473934895484796
89,San Jose State,5,7,mwc,6,3.0,5.0,0.5454545454545454,0.41666666666666663,0.22727272727272724,-2.9103773584905612,-2.4151029028759354,-4.034632034632035,-54.724480578139115,-57.139583481015045
90,Colorado,4,8,pac-12,5,3.0,6.0,0.6363636363636364,0.25,0.1590909090909091,-15.936927245198817,-13.224855237591717,-3.312770562770563,-44.93337850045167,-58.158233738043386
91,UTEP,7,5,cusa,11,4.0,4.0,0.09090909090909094,0.5,0.04545454545454547,-5.138709677419355,-4.264228012483143,-4.12987012987013,-56.01626016260162,-60.28048817508477
92,Ball State,6,6,mac,10,4.0,4.0,0.18181818181818177,0.41666666666666663,0.07575757575757573,-2.1931333127126553,-1.8199161062307407,-4.311688311688313,-58.482384823848236,-60.30230093007899
93,South Alabama,5,7,sun-belt,8,2.0,6.0,0.36363636363636365,0.4,0.14545454545454548,4.027327491785328,3.3419756678176307,-4.713852813852814,-63.93721770551038,-60.59524203769274
94,Troy,5,7,sun-belt,8,3.0,5.0,0.36363636363636365,0.6,0.21818181818181817,1.093567251461986,0.9074690729677989,-4.7610389610389605,-64.57723577235771,-63.66976669938991
95,Middle Tennessee State,6,6,cusa,11,4.0,4.0,0.09090909090909094,0.5714285714285714,0.051948051948051965,1.504125695853499,1.2481605946213425,-4.8311688311688314,-65.52845528455285,-64.28029468993151
96,USC,4,8,pac-12,5,3.0,6.0,0.6363636363636364,0.33333333333333337,0.21212121212121215,-9.52027918392391,-7.900162439831784,-4.268398268398268,-57.895212285456175,-65.79537472528796
97,Old Dominion,6,6,cusa,11,5.0,3.0,0.09090909090909094,0.6428571428571428,0.058441558441558454,-2.0694889397406646,-1.7173129564303302,-4.733766233766233,-64.20731707317071,-65.92463002960103
98,North Texas,6,6,cusa,11,5.0,3.0,0.09090909090909094,0.7142857142857143,0.06493506493506496,2.1321678321678443,1.769325447047162,-4.9923258559622194,-67.71433850702142,-65.94501305997426
99,Northwestern,3,9,big-ten,3,1.0,8.0,0.8181818181818181,0.1428571428571429,0.11688311688311691,-10.96427087660988,-9.098422355701706,-4.387445887445887,-59.50993676603431,-68.60835912173602
