rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
104,Jacksonville State,conference usa,0,1,-79.27088354381566,0.09875397667020148,-1.2727272727272725
105,Nevada,mountain west,0,1,-85.31739719571108,0.09013785790031813,-1.361111111111111
106,Minnesota,big ten,0,1,-86.61142277658715,0.05785545313647117,-1.3636363636363638
107,Colorado State,mountain west,0,1,-89.03336118341419,0.14810887239307174,-1.4494949494949492
108,Arizona State,pac-12,0,1,-90.59774575018477,0.5630081300813009,-1.6969696969696968
109,Buffalo,mid-american,0,1,-90.60449403901153,0.16887592788971367,-1.4848484848484846
110,San Diego State,mountain west,0,1,-97.81251004209646,0.06141746200070696,-1.5378787878787876
111,Northern Illinois,mid-american,0,1,-98.83927790890812,0.06490952006294257,-1.5555555555555556
112,Boise State,mountain west,0,1,-102.66359244620114,0.08695652173913043,-1.626262626262626
113,Kent State,mid-american,0,1,-104.5334620506943,0.03353167589646911,-1.6262626262626263
114,UCLA,pac-12,0,1,-106.73965262379896,0.29878048780487804,-1.8030303030303028
115,Ball State,mid-american,0,1,-108.18434879012821,0.06053375751148816,-1.6969696969696968
116,California,pac-12,0,1,-108.45028464586706,0.15142043868951274,-1.7499999999999998
117,Washington State,pac-12,0,1,-113.6752064655034,0.3960763520678685,-1.9621212121212122
118,USC,pac-12,0,1,-116.75298852790898,0.1111700247437257,-1.8560606060606057
119,Colorado,pac-12,0,1,-119.00705018595848,0.14525311157001727,-1.9090909090909087
120,Navy,american athletic,0,1,-121.21960592135565,0.08203723341581243,-1.9090909090909092
121,North Texas,american athletic,0,1,-124.23811375908498,0.10834826489194427,-1.9696969696969697
122,South Florida,american athletic,0,1,-124.33473119316174,0.04931071049840934,-1.9393939393939394
123,Tulsa,american athletic,0,1,-127.4383106289257,0.07319112488783751,-2.0
124,Rice,american athletic,0,1,-128.357212790858,0.10321383368111381,-2.0303030303030303
125,South Alabama,sun belt,0,1,-130.72062084257206,0.3170731707317073,-2.1818181818181817
126,Georgia State,sun belt,0,1,-131.22581863170407,0.190084835630965,-2.121212121212121
127,East Carolina,american athletic,0,1,-131.42738359201772,0.12804878048780488,-2.090909090909091
128,Marshall,sun belt,0,1,-131.62094165408053,0.20693413455873688,-2.136363636363636
129,Florida Atlantic,american athletic,0,1,-132.01866223207685,0.054878048780487805,-2.0606060606060606
130,Louisiana,sun belt,0,1,-134.99690703428772,0.16675503711558853,-2.1666666666666665
131,UL Monroe,sun belt,0,1,-135.05515119380442,0.2213679745493107,-2.196969696969697
132,Georgia Southern,sun belt,0,1,-136.1492978566149,0.10569105691056911,-2.1515151515151514
133,Old Dominion,sun belt,0,1,-140.8967290883383,0.08260427712972783,-2.212121212121212
