rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
50,Arizona,big 12,2,1,2.1658738775858257,0.21229045924551682,-0.08098911070780403
51,Minnesota,big ten,2,1,0.48079832187659655,0.13215814754233887,-0.06376518218623482
52,Kentucky,sec,2,1,-0.8181022219389988,-0.12069739820007203,0.05240471869328494
53,Georgia State,sun belt,2,1,-2.5608182046065937,0.1834127129510899,-0.13815789473684215
54,Boise State,pac-12,2,1,-2.7680748618538717,-0.05437088836996717,-0.013309134906231096
55,North Carolina,acc,2,1,-4.3412349228611165,-0.016303352262319094,-0.058009501441229974
56,Army,american athletic,1,1,-6.040735315960025,0.5352115551416142,-0.3811252268602542
57,Virginia,acc,2,1,-6.665761756559721,0.40962172559076754,-0.32311572541902434
58,California,acc,2,1,-8.400791232681318,-0.07440572468654144,-0.08917832105619027
59,SMU,acc,2,1,-9.161782125644331,0.22953403843001896,-0.2645457457029999
60,Oklahoma,sec,2,1,-9.197916780948715,0.13042681809855286,-0.2117362371445856
61,New Mexico,mountain west,2,1,-9.9336376615782,0.5049748845460418,-0.4247347480106101
62,Iowa State,big 12,2,1,-11.303384425952725,0.2686977019082214,-0.31858159988831497
63,UConn,fbs independents,2,1,-12.607168672928342,0.28917725665282956,-0.34966727162734423
64,Oregon,big ten,2,1,-13.283569067582626,0.49637689622825926,-0.47164246823956457
65,Florida Atlantic,american athletic,2,1,-13.371632128831026,-0.47279721560725413,0.04886569872958257
66,Colorado,big 12,2,1,-13.404420081117072,-0.06655341060508355,-0.17038539553752535
67,Wake Forest,acc,2,1,-13.783543057269366,-0.13603109543872505,-0.1388069956448306
68,Memphis,american athletic,3,1,-13.802952951230274,0.04042379693399644,-0.23411978221415614
69,Michigan State,big ten,2,1,-15.236444985536462,-0.13042681809855278,-0.16417702080134022
70,Delaware,conference usa,2,1,-16.09193643047934,0.14944739573792512,-0.32803992740471877
71,Toledo,mid-american,2,1,-16.52419149588031,0.3030941397858416,-0.41742286751361174
72,Troy,sun belt,2,1,-17.86727956198143,-0.11412346583623377,-0.2134301270417423
73,Wisconsin,big ten,2,1,-19.215533479315038,-0.1243328466218608,-0.22867513611615245
74,Navy,american athletic,1,1,-19.954040885767053,0.19835745252488246,-0.41379310344827597
