team,conference,N_raw,N_adj,ave_margin,points,wins,losses
Notre Dame,fbs independents,12.146341463414636,0.09090694962961218,28.0,41.0,1,0
Ohio,mid-american,-43.66666666666667,-0.3268147432802189,-28.0,21.0,0,1
Ohio State,big ten,53.0,0.39666827619507483,53.0,56.0,1,0
Oklahoma,sec,86.31372549019608,0.6459984283428484,51.0,51.0,1,0
Oklahoma State,big 12,-30.0,-0.22452921294060837,-14.0,10.0,0,1
Old Dominion,sun belt,17.161290322580644,0.12844036697247704,21.0,31.0,1,0
Ole Miss,sec,-4.3170731707317085,-0.03231030137438024,3.0,41.0,1,0
Oregon,big ten,-2.8235294117647083,-0.02113216121793963,7.0,34.0,1,0
Oregon State,pac-12,-10.499999999999998,-0.07858522452921292,-13.0,20.0,0,1
Penn State,big ten,91.66666666666666,0.6860614839851922,45.0,45.0,1,0
Pittsburgh,acc,41.45762711864407,0.3102816129111458,45.0,59.0,1,0
Purdue,big ten,5.818181818181817,0.043545059479390705,25.0,44.0,1,0
Rice,american athletic,22.161290322580644,0.16586190246257845,28.0,31.0,1,0
Rutgers,big ten,-14.0,-0.1047802993722839,-16.0,21.0,0,1
Sacramento State,mid-american,12.079710144927539,0.09040826037970875,20.5,69.0,1,1
Sam Houston,conference usa,-2.0,-0.014968614196040559,-3.0,21.0,0,1
San Diego State,pac-12,20.622641509433965,0.15434618222898427,33.0,53.0,1,0
San José State,mountain west,-16.377358490566035,-0.12257318039776606,-5.0,53.0,1,1
SMU,acc,0.0,0.0,0.0,0.0,0,0
South Alabama,sun belt,8.897435897435898,0.06659114264135993,25.0,39.0,1,0
South Carolina,sec,105.12280701754386,0.7867713707252196,57.0,57.0,1,0
Southern Miss,sun belt,44.0,0.3293095123128923,46.0,49.0,1,0
South Florida,american athletic,-22.578947368421055,-0.16898777605530002,10.0,19.0,1,0
Stanford,acc,-31.941860465116278,-0.23906269300304311,-14.5,43.0,1,1
Syracuse,acc,56.42424242424242,0.42229635807617455,63.0,66.0,1,0
TCU,big 12,-19.0,-0.1422018348623853,-5.0,10.0,0,1
Temple,american athletic,-0.3684210526315752,-0.002757376299270601,24.0,38.0,1,0
Tennessee,sec,45.0,0.3367938194109126,47.0,56.0,1,0
Texas,sec,45.525423728813564,0.34072625195394024,52.0,59.0,1,0
Texas A&M,sec,94.0,0.7035248672139063,50.0,50.0,1,0
Texas State,pac-12,-54.0,-0.4041525832930951,-52.0,7.0,0,1
Texas Tech,big 12,4.818181818181817,0.03606075238137042,23.0,33.0,1,0
Toledo,mid-american,-6.499999999999998,-0.048647996137131805,-10.0,20.0,0,1
Troy,sun belt,-4.25,-0.031808305166586184,3.0,24.0,1,0
Tulane,american athletic,-64.0,-0.4789956542732979,-14.0,3.0,0,1
Tulsa,american athletic,8.75,0.06548768710767744,14.0,24.0,1,0
UAB,american athletic,-37.565217391304344,-0.281149623160414,-19.0,23.0,0,1
UCF,big 12,61.15068493150685,0.45767050528167846,67.0,73.0,1,0
UCLA,big ten,17.666666666666668,0.13222275873169162,21.0,45.0,1,0
UConn,fbs independents,51.0,0.38169966199903427,49.0,56.0,1,0
UL Monroe,sun belt,-72.07692307692308,-0.5394458269880771,-49.0,13.0,0,1
UNLV,mountain west,4.5,0.033679381941091255,4.5,42.0,1,1
USC,big ten,24.530864197530864,0.18359652103415178,27.5,81.0,2,0
Utah,big 12,49.72727272727273,0.37217418023791754,52.0,66.0,1,0
Utah State,pac-12,-16.823529411764717,-0.1259124605902236,-12.0,17.0,0,1
UTEP,mountain west,-102.0,-0.7633993239980685,-51.0,0.0,0,1
UTSA,american athletic,15.88888888888889,0.11891732389076666,29.0,45.0,1,0
Vanderbilt,sec,-6.0,-0.04490584258812168,19.0,28.0,1,0
Virginia,acc,17.17647058823529,0.12855398074246593,26.0,34.0,1,0
Virginia Tech,acc,60.150684931506845,0.4501861981836581,70.0,73.0,1,0
Wake Forest,acc,9.842105263157892,0.07366133828051537,22.0,38.0,1,0
Washington,big ten,6.75,0.05051907291163689,14.0,24.0,1,0
Washington State,pac-12,-28.0,-0.2095605987445678,-14.0,10.0,0,1
Western Kentucky,conference usa,-38.0,-0.2844036697247706,-35.0,14.0,0,1
Western Michigan,mid-american,-50.0,-0.374215354901014,-1.0,12.0,0,1
West Virginia,big 12,3.161290322580644,0.023660067600193135,7.0,31.0,1,0
Wisconsin,big ten,-51.07692307692308,-0.3822753779296512,-28.0,13.0,0,1
Wyoming,mountain west,-43.07692307692308,-0.32240092114548896,-22.0,13.0,0,1
